question,option1,option2,option3,option4,correct_answer,topic
What is binary search?,A sorting algorithm,A searching algorithm using divide and conquer,A hashing technique,A graph traversal method,A searching algorithm using divide and conquer,DSA
What is a stack?,FIFO data structure,LIFO data structure,Graph structure,Tree structure,LIFO data structure,DSA
What is normalization?,A database design process to reduce redundancy,A memory optimization technique,A network compression algorithm,A file system structure,A database design process to reduce redundancy,DBMS
What is a primary key?,Unique identifier for table records,Foreign key reference,Index pointer,Composite key,Unique identifier for table records,DBMS
What is a process?,Running instance of a program,Memory allocation unit,Network protocol,Thread scheduler,Running instance of a program,OS
What is a thread?,Smallest execution unit of a process,Separate operating system,Database transaction,Network request,Smallest execution unit of a process,OS
What is the time complexity of merge sort?,O(n^2),O(n log n),O(log n),O(n),O(n log n),DSA
What is a binary tree?,Tree with unlimited children,Tree with two children per node,Linked list structure,Hash table structure,Tree with two children per node,DSA
What is BFS?,Graph traversal using stack,Graph traversal level by level,Sorting technique,Hashing method,Graph traversal level by level,DSA
What is DFS?,Graph traversal depth first,Sorting algorithm,Network protocol,Memory management technique,Graph traversal depth first,DSA
What is recursion?,Function calling itself repeatedly,Database query method,Network loop protocol,Memory allocation method,Function calling itself repeatedly,DSA
What is dynamic programming?,Problem solving with stored subresults,Graph traversal algorithm,Memory allocation technique,Database indexing method,Problem solving with stored subresults,DSA
What is inheritance?,Class acquiring properties of another class,Memory allocation technique,Database join type,Network communication protocol,Class acquiring properties of another class,Programming
What is a lambda function?,Anonymous function,Sorting algorithm,Database trigger,Network port,Anonymous function,Programming
What is garbage collection?,Automatic memory cleanup process,File compression technique,Network protocol,Database optimization,Automatic memory cleanup process,Programming
What is the difference between == and === in JavaScript?,== checks value only,=== checks value and type,=== converts type automatically,== checks reference only,=== checks value and type,Programming
What is encapsulation?,Data hiding mechanism,Memory allocation,Database normalization,Network encryption,Data hiding mechanism,Programming
What is abstraction?,Hiding implementation details,Database indexing,Network routing method,Sorting algorithm,Hiding implementation details,Programming
What is a pointer?,Variable storing memory address,Sorting algorithm,Database connection,Network port,Variable storing memory address,Programming
What is exception handling?,Handling runtime errors,Network security method,Database optimization,Sorting technique,Handling runtime errors,Programming
What is caching?,Storing frequently used data for faster access,Encrypting network data,Compressing files,Deleting unused memory,Storing frequently used data for faster access,System Design
What are microservices?,Architecture with small independent services,Database optimization method,Network encryption protocol,Memory allocation technique,Architecture with small independent services,System Design
What is a load balancer?,Distributes traffic across servers,Encrypts network data,Stores database queries,Compresses files,Distributes traffic across servers,System Design
What is a RESTful API?,Stateless web service interface,Database query engine,Network routing protocol,Memory management technique,Stateless web service interface,System Design
What is a CDN?,Distributed servers delivering content faster,Database replication technique,Sorting algorithm,Memory allocation system,Distributed servers delivering content faster,System Design
What is indexing in databases?,Technique to speed up data retrieval,Data compression method,Network protocol,Memory allocation technique,Technique to speed up data retrieval,DBMS
What is a join in SQL?,Combining rows from multiple tables,Sorting rows in a table,Deleting duplicate rows,Creating indexes,Combining rows from multiple tables,DBMS
What is a foreign key?,Field referencing primary key in another table,Primary identifier of table,Sorting column,Memory pointer,Field referencing primary key in another table,DBMS
What is a transaction?,Group of database operations executed together,Sorting algorithm,Network request handler,Memory cleanup method,Group of database operations executed together,DBMS
What is denormalization?,Adding redundancy for faster reads,Removing indexes,Encrypting database tables,Compressing files,Adding redundancy for faster reads,DBMS
What is paging?,Memory divided into fixed size pages,Database indexing method,Network routing technique,Sorting algorithm,Memory divided into fixed size pages,OS
What is context switching?,Saving and restoring CPU state,Sorting technique,Database join operation,Network encryption method,Saving and restoring CPU state,OS
